Date,Particulars,cheque/reference no,Debit,Credit,Balance,channel
2025-01-01,Salary Credit,, ,39000,139000,NEFT
2025-01-02,UPI/Zomato,,340,,138660,UPI
2025-01-02,IMPS to Akash,,2000,,136660,IMPS
2025-01-03,ATM Withdrawal,,4000,,132660,ATM
2025-01-03,UPI/Swiggy,,280,,132380,UPI
2025-01-04,UPI/Flipkart,,1599,,130781,UPI
2025-01-05,NEFT Rent,,11000,,119781,NEFT
2025-01-06,Electricity Bill,,950,,118831,IMPS
2025-01-07,UPI/Grocery Store,,890,,117941,UPI
2025-01-07,UPI/Phone Recharge,,249,,117692,UPI
2025-01-08,Interest Credit,, ,300,117992,BANK
2025-01-09,UPI/Medical Store,,540,,117452,UPI
2025-01-10,UPI/Amazon,,1199,,116253,UPI
2025-01-10,UPI/Ola Ride,,190,,116063,UPI
2025-01-11,LIC Payment,,2100,,113963,NEFT
2025-01-12,IMPS from Sneha,, ,3200,117163,IMPS
2025-01-13,UPI/Starbucks,,350,,116813,UPI
2025-01-14,ATM Withdrawal,,3000,,113813,ATM
2025-01-14,UPI/Uber,,225,,113588,UPI
2025-01-15,UPI/Swiggy,,330,,113258,UPI
