Date,Particulars,cheque/reference no,Debit,Credit,Balance,channel
2025-03-01,UPI/9823456712/HDFC/Swiggy/Instamart Bengaluru,UPI234561001,349,,15000,UPI
2025-03-02,UPI/9812345678/SBI/Uber/Trip to Office,UPI234561002,180,,14820,UPI
2025-03-03,UPI/9876543210/ICICI/Amazon/Order Payment,UPI234561003,1299,,13521,UPI
2025-03-04,UPI/9898989898/AXIS/Flipkart/Mobile Accessories,UPI234561004,799,,12722,UPI
2025-03-05,UPI/9123456789/KOTAK/Zomato/Dinner Order,UPI234561005,420,,12302,UPI
2025-03-06,UPI/9001122334/PNB/IRCTC/Train Ticket,UPI234561006,560,,11742,UPI
2025-03-07,UPI/9345678901/YES/BookMyShow/Movie Tickets,UPI234561007,650,,11092,UPI
2025-03-08,UPI/9456123789/BOB/Swiggy/Breakfast Order,UPI234561008,220,,10872,UPI
2025-03-09,UPI/9567890123/IDFC/Ola/Ride to Mall,UPI234561009,310,,10562,UPI
2025-03-10,UPI/9789012345/INDUSIND/Netflix/Monthly Subscription,UPI234561010,199,,10363,UPI

