Date,Particulars,cheque/reference no,Debit,Credit,Balance,channel
2025-01-01,Salary Credit,, ,52000,152000,NEFT
2025-01-02,UPI/Flipkart,,1299,,150701,UPI
2025-01-02,UPI/Medical Store,,450,,150251,UPI
2025-01-03,IMPS Transfer to Rahul,,2000,,148251,IMPS
2025-01-03,ATM Withdrawal,,3000,,145251,ATM
2025-01-04,UPI/Swiggy,,370,,144881,UPI
2025-01-05,Electricity Bill,,1100,,143781,IMPS
2025-01-06,Water Tax,,600,,143181,NEFT
2025-01-07,Rent Payment,,15000,,128181,NEFT
2025-01-08,UPI/Ola Ride,,180,,128001,UPI
2025-01-08,UPI/Phone Recharge,,299,,127702,UPI
2025-01-09,Interest Credit,, ,300,128002,BANK
2025-01-10,UPI/Starbucks,,450,,127552,UPI
2025-01-11,LIC Premium,,2500,,125052,NEFT
2025-01-11,UPI/Amazon,,599,,124453,UPI
2025-01-12,UPI/Grocery Store,,980,,123473,UPI
2025-01-12,IMPS Transfer from Priya,, ,5000,128473,IMPS
2025-01-13,UPI/Oyo,,2200,,126273,UPI
2025-01-14,ATM Withdrawal,,5000,,121273,ATM
2025-01-15,UPI/Zomato,,320,,120953,UPI
