Date,Particulars,cheque/reference no,Debit,Credit,Balance,channel
2025-01-01,Salary Credit,, ,47000,147000,NEFT
2025-01-02,UPI/Dmart,,1350,,145650,UPI
2025-01-03,UPI/Swiggy,,450,,145200,UPI
2025-01-04,IMPS to Aditya,,1700,,143500,IMPS
2025-01-05,ATM Withdrawal,,3000,,140500,ATM
2025-01-06,Water Bill,,350,,140150,IMPS
2025-01-06,UPI/PhonePayMall,,799,,139351,UPI
2025-01-07,NEFT Rent Payment,,10000,,129351,NEFT
2025-01-08,UPI/Zomato,,650,,128701,UPI
2025-01-09,UPI/Uber,,210,,128491,UPI
2025-01-10,Interest Credit,, ,350,128841,BANK
2025-01-11,UPI/Patanjali Store,,580,,128261,UPI
2025-01-11,UPI/Airtel Recharge,,299,,127962,UPI
2025-01-12,LIC Insurance,,2100,,125862,NEFT
2025-01-13,UPI/Amazon,,1299,,124563,UPI
2025-01-14,IMPS from Rohan,, ,2800,127363,IMPS
2025-01-14,UPI/Swiggy,,340,,127023,UPI
2025-01-15,ATM Withdrawal,,2500,,124523,ATM
2025-01-15,UPI/BigBazaar,,1020,,123503,UPI
2025-01-16,UPI/Starbucks,,410,,123093,UPI
